id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q4283840,President of Armenia,Q399,Q399,,Q15268431,1991-11-11,,,,President of Armenia
Q1123764,Prime Minister of Armenia,Q399,Q399,,Q4436217,1991-09-25,,,,Prime Minister of Armenia
Q60772959,Deputy Prime Minister of Armenia,Q399,Q399,,,,,,,Deputy Prime Minister of Armenia
Q109120726,Minister of Culture of Armenia,,Q399,,,,,,,
Q19966859,Defence Minister of Armenia,Q399,Q399,,,,,,,Minister of Defence (Armenia)
Q56762129,Minister of Economy,Q399,Q399,,,,,,,
Q20517801,Minister of Education and Science,Q399,Q399,,,,,,,
Q108315415,Minister of Emergency Situations,Q399,Q399,,,,,,,
Q108315673,Minister of Environment,Q399,Q399,,,,,,,
Q20517836,Finance Minister,Q399,Q399,,,,,,,
Q20517766,Foreign Minister of Armenia,Q399,Q399,,Q23035499,,,,,
Q108315286,Minister of Health,Q399,Q399,,,,,,,
Q108315247,Minister of High-Tech Industry,Q399,Q399,,,,,,,
Q108914566,Minister of Internal Affairs,Q399,Q399,,,,2003-01,,,
Q20517763,Justice Minister,Q399,Q399,,,,,,,
Q108315265,Minister of Labor and Social Affairs,Q399,Q399,,,,,,,
Q108315714,Minister of Territorial Administration and Infrastructures,Q399,Q399,,,,,,,
Q20517829,"Minister of Transport, Communication and Information Technologies",Q399,Q399,,,,,,,
Q60544013,Chief of the General Staff (Armenia),Q399,Q399,,,,,,,Chief of the General Staff (Armenia)
Q20517819,Chief of Police of Armenia,,,,,2003-01,,Q108914566,,
Q30340137,President of the National Assembly of Armenia,Q399,Q399,,,1918-08-01,,,,President of the National Assembly of Armenia
Q109452830,Governor of the Central Bank of Armenia,,Q399,,,,,,,
Q1976028,Mayor of Yerevan,Q399,Q1953,,,1879,,,,Mayor of Yerevan
