@@,itemlabel,item,startdate,enddate
+++,Janik Janoyan,Q769877,1990-09-18,1993-02-16
+++,Levon Barkhudaryan,Q4078776,1993,1997
+++,Armen Darbinyan,Q681530,1997-05-15,1998-04-10
+++,Edward Sandoyan,Q4407546,1998-04-20,1999-06-15
+++,Levon Barkhudaryan,Q4078776,1999-06-15,2000-11-11
+++,Vardan Khachatryan,Q4496712,2000-11-11,2008-04-09
+++,Tigran Davtyan,Q4153681,2008-04-21,2010-12-17
+++,Vache Gabrielyan,Q7907998,2010-12-17,2013-04-09
+++,Davit Sargsyan,Q4408655,2013-05-09,2014-04-26
+++,Gagik Khachatryan,Q13052485,2014-04-26,2016-09-20
+++,Vartan Aramyan,Q21209929,2016-09-20,2018-05-12
+++,Atom Janjughazyan,Q21212607,2018-05-12,2021-08-02
->,Tigran Khachatryan,Q108315666->NULL,2021-08-02,
