item,itemLabel,startDate,endDate,psid
Q108315666,Tigran Khachatryan,2021-08-02,,Q108315666-A85068C5-EDFA-401D-99C3-EA5449EC506E
Q13052485,Gagik Khachatryan,2014-04-26,2016-09-20,Q13052485-B0CAC0EF-7487-445F-A275-FA414F22CF95
Q21209929,Q21209929,2016-09-20,2018-05-12,Q21209929-3F7D1862-D6BC-40AC-914D-ABD0869AFA77
Q21212607,Atom Janjughazyan,2018-05-12,2021-08-02,Q21212607-6A16BBF6-9DD3-4D81-87BB-EA5521021373
Q4078776,Q4078776,1993,1997,Q4078776-701D3C0B-5AF2-4732-A760-07692315E585
Q4078776,Q4078776,1999-06-15,2000-11-11,Q4078776-E7648EB4-66A0-42C9-8BEE-A6F3603F1EDA
Q4153681,Q4153681,2008-04-21,2010-12-17,Q4153681-58EED657-805D-4ABD-9170-6310A286D386
Q4407546,Edward Sandoyan,1998-04-20,1999-06-15,Q4407546-DEF629C3-30E2-4F99-AC37-06E5769CBEF2
Q4408655,David Sargsyan,2013-05-09,2014-04-26,Q4408655-7B241AA7-F171-4E3A-870A-BC674BD72574
Q4496712,Vardan Khachatryan,2000-11-11,2008-04-09,Q4496712-BF51798F-3B15-4A4E-9A18-6057BCEB8D64
Q681530,Armen Darbinyan,1997-05-15,1998-04-10,Q681530-4857A9E5-9102-46F5-9C7C-60562FC33982
Q769877,Dschanik Dschanojan,1990-09-18,1993-02-16,Q769877-06C0A33B-55C0-43FB-BB53-C5C1B1A5B17C
Q7907998,Vache Gabrielyan,2010-12-17,2013-04-09,Q7907998-E338D0BC-F819-453D-8147-6F75752EFA8F
